MINID	SEQID
2025-MIN-0043	2025-SEQ-0816
2025-MIN-0044	2025-SEQ-0817
2025-MIN-0045	2025-SEQ-0818
2025-MIN-0046	2025-SEQ-0819
2025-MIN-0047	2025-SEQ-0820
2025-MIN-0048	2025-SEQ-0821
2025-MIN-0049	2025-SEQ-0822
2025-MIN-0050	2025-SEQ-0823
2025-MIN-0051	2025-SEQ-0824
2025-MIN-0052	2025-SEQ-0825
2025-MIN-0053	2025-SEQ-0826
2025-MIN-0054	2025-SEQ-0827
2025-MIN-0055	2025-SEQ-0828
2025-MIN-0056	2025-SEQ-0829
2025-MIN-0057	2025-SEQ-0830
2025-MIN-0058	2025-SEQ-0831
2025-MIN-0059	2025-SEQ-0832
2025-MIN-0060	2025-SEQ-0833
2025-MIN-0061	2025-SEQ-0834
2025-MIN-0062	2025-SEQ-0835
2025-MIN-0063	2025-SEQ-0836
2025-MIN-0064	2025-SEQ-0837
2025-MIN-0065	2025-SEQ-0838
2025-MIN-0066	2025-SEQ-0839
2025-MIN-0067	2025-SEQ-0840
2025-MIN-0068	2025-SEQ-0841
2025-MIN-0069	2025-SEQ-0842
2025-MIN-0070	2025-SEQ-0843
2025-MIN-0071	2025-SEQ-0845
2025-MIN-0072	2025-SEQ-0844
2025-MIN-0073	2025-SEQ-0846
2025-MIN-0074	2025-SEQ-0847
2025-MIN-0075	2025-SEQ-0848
2025-MIN-0076	2025-SEQ-0849
2025-MIN-0077	2025-SEQ-0850
2025-MIN-0078	2025-SEQ-0851
2025-MIN-0079	2025-SEQ-0852
2025-MIN-0080	2025-SEQ-0853
2025-MIN-0081	2025-SEQ-0854
2025-MIN-0082	2025-SEQ-0855
2025-MIN-0083	2025-SEQ-0856
2025-MIN-0084	2025-SEQ-0857
2025-MIN-0085	2025-SEQ-0901
2025-MIN-0086	2025-SEQ-0902
2025-MIN-0087	2025-SEQ-0903
2025-MIN-0088	2025-SEQ-0904
2025-MIN-0089	2025-SEQ-0905
2025-MIN-0090	2025-SEQ-0906
2025-MIN-0091	2025-SEQ-0907
2025-MIN-0092	2025-SEQ-0908
2025-MIN-0093	2025-SEQ-0909
2025-MIN-0094	2025-SEQ-0910
2025-MIN-0095	2025-SEQ-0911
2025-MIN-0096	2025-SEQ-0912
2025-MIN-0097	2025-SEQ-0913
2025-MIN-0098	2025-SEQ-0914
2025-MIN-0099	2025-SEQ-0915
2025-MIN-0100	2025-SEQ-0916
2025-MIN-0101	2025-SEQ-0917
2025-MIN-0102	2025-SEQ-0918
2025-MIN-0103	2025-SEQ-0919
2025-MIN-0104	2025-SEQ-0920
2025-MIN-0105	2025-SEQ-0921
2025-MIN-0106	2025-SEQ-0922
2025-MIN-0107	2025-SEQ-0923
2025-MIN-0108	2025-SEQ-0924
2025-MIN-0109	2025-SEQ-0925
2025-MIN-0110	2025-SEQ-0926
2025-MIN-0111	2025-SEQ-0928
2025-MIN-0112	2025-SEQ-0927
2025-MIN-0113	2025-SEQ-0929
2025-MIN-0114	2025-SEQ-0930
2025-MIN-0115	2025-SEQ-0931
2025-MIN-0116	2025-SEQ-0932
2025-MIN-0117	2025-SEQ-0933
2025-MIN-0118	2025-SEQ-0934
2025-MIN-0119	2025-SEQ-0935
2025-MIN-0120	2025-SEQ-0936
2025-MIN-0121	2025-SEQ-0937
2025-MIN-0122	2025-SEQ-0938
2025-MIN-0123	2025-SEQ-0939
2025-MIN-0124	2025-SEQ-0940
2025-MIN-0125	2025-SEQ-0941
2025-MIN-0126	2025-SEQ-0942
2025-MIN-0127	2025-SEQ-0943
2025-MIN-0128	2025-SEQ-0944
2025-MIN-0129	2025-SEQ-0945
2025-MIN-0130	2025-SEQ-0946
2025-MIN-0131	2025-SEQ-0947
2025-MIN-0132	2025-SEQ-0948
2025-MIN-0133	2025-SEQ-0949
2025-MIN-0134	2025-SEQ-0950
2025-MIN-0135	2025-SEQ-0951
2025-MIN-0136	2025-SEQ-0952
2025-MIN-0137	2025-SEQ-0953
2025-MIN-0138	2025-SEQ-0954
